"DATE","NDVI","site.name"
2009-02-18,0.6342,"Bartlett_Experimental_Forest"
2009-03-06,0.3147,"Bartlett_Experimental_Forest"
2009-03-22,0.3102,"Bartlett_Experimental_Forest"
2009-04-07,0.4629,"Bartlett_Experimental_Forest"
2009-04-23,0.5099,"Bartlett_Experimental_Forest"
2009-05-09,0.8002,"Bartlett_Experimental_Forest"
2009-05-25,0.8705,"Bartlett_Experimental_Forest"
2009-06-10,0.8382,"Bartlett_Experimental_Forest"
2009-06-26,0.8942,"Bartlett_Experimental_Forest"
2009-07-12,0.8995,"Bartlett_Experimental_Forest"
2009-07-28,0.8867,"Bartlett_Experimental_Forest"
2009-08-13,0.8536,"Bartlett_Experimental_Forest"
2009-08-29,0.8584,"Bartlett_Experimental_Forest"
2009-09-30,0.5522,"Bartlett_Experimental_Forest"
2009-10-16,0.5623,"Bartlett_Experimental_Forest"
2009-11-01,0.5098,"Bartlett_Experimental_Forest"
2009-11-17,0.587,"Bartlett_Experimental_Forest"
2009-12-03,0.5213,"Bartlett_Experimental_Forest"
2009-12-19,0.4495,"Bartlett_Experimental_Forest"
2010-01-01,0.5421,"Bartlett_Experimental_Forest"
2010-01-17,0.4877,"Bartlett_Experimental_Forest"
2010-02-02,0.3247,"Bartlett_Experimental_Forest"
2010-02-18,0.3577,"Bartlett_Experimental_Forest"
2010-03-06,0.397,"Bartlett_Experimental_Forest"
2010-03-22,0.5327,"Bartlett_Experimental_Forest"
2010-04-07,0.4712,"Bartlett_Experimental_Forest"
2010-04-23,0.783,"Bartlett_Experimental_Forest"
2010-05-25,0.8499,"Bartlett_Experimental_Forest"
2010-06-10,0.8724,"Bartlett_Experimental_Forest"
2010-06-26,0.8862,"Bartlett_Experimental_Forest"
2010-07-12,0.8757,"Bartlett_Experimental_Forest"
2010-07-28,0.8493,"Bartlett_Experimental_Forest"
2010-08-13,0.8805,"Bartlett_Experimental_Forest"
2010-08-29,0.872,"Bartlett_Experimental_Forest"
2010-09-14,0.7958,"Bartlett_Experimental_Forest"
2010-09-30,0.6971,"Bartlett_Experimental_Forest"
2010-10-16,0.5337,"Bartlett_Experimental_Forest"
2010-11-01,0.626,"Bartlett_Experimental_Forest"
2010-11-17,0.6146,"Bartlett_Experimental_Forest"
2010-12-03,0.5802,"Bartlett_Experimental_Forest"
2010-12-19,0.4205,"Bartlett_Experimental_Forest"
2011-01-01,0.5167,"Bartlett_Experimental_Forest"
2011-01-17,0.4622,"Bartlett_Experimental_Forest"
2011-02-02,0.3146,"Bartlett_Experimental_Forest"
2011-02-18,0.5831,"Bartlett_Experimental_Forest"
2011-03-06,0.2718,"Bartlett_Experimental_Forest"
2011-03-22,0.2902,"Bartlett_Experimental_Forest"
2011-04-07,0.3582,"Bartlett_Experimental_Forest"
2011-04-23,0.4945,"Bartlett_Experimental_Forest"
2011-05-09,0.5407,"Bartlett_Experimental_Forest"
2011-05-25,0.8238,"Bartlett_Experimental_Forest"
2011-06-10,0.8757,"Bartlett_Experimental_Forest"
2011-06-26,0.882,"Bartlett_Experimental_Forest"
2011-07-12,0.863,"Bartlett_Experimental_Forest"
2011-07-28,0.8847,"Bartlett_Experimental_Forest"
2011-08-13,0.8565,"Bartlett_Experimental_Forest"
2011-08-29,0.8763,"Bartlett_Experimental_Forest"
2011-09-14,0.7983,"Bartlett_Experimental_Forest"
2011-10-16,0.6007,"Bartlett_Experimental_Forest"
2011-11-01,0.5219,"Bartlett_Experimental_Forest"
2011-11-17,0.516,"Bartlett_Experimental_Forest"
2011-12-03,0.6194,"Bartlett_Experimental_Forest"
2011-12-19,0.6046,"Bartlett_Experimental_Forest"
2012-01-01,0.6046,"Bartlett_Experimental_Forest"
2012-01-17,0.0967,"Bartlett_Experimental_Forest"
2012-02-02,0.4594,"Bartlett_Experimental_Forest"
2012-02-18,0.3788,"Bartlett_Experimental_Forest"
2012-04-06,0.4762,"Bartlett_Experimental_Forest"
2012-05-08,0.8801,"Bartlett_Experimental_Forest"
2012-05-24,0.8383,"Bartlett_Experimental_Forest"
2012-06-09,0.8854,"Bartlett_Experimental_Forest"
2012-06-25,0.8669,"Bartlett_Experimental_Forest"
2012-07-11,0.8752,"Bartlett_Experimental_Forest"
2012-07-27,0.8585,"Bartlett_Experimental_Forest"
2012-08-12,0.8715,"Bartlett_Experimental_Forest"
2012-09-13,0.8512,"Bartlett_Experimental_Forest"
2012-09-29,0.6008,"Bartlett_Experimental_Forest"
2012-10-15,0.5427,"Bartlett_Experimental_Forest"
2012-10-31,0.5697,"Bartlett_Experimental_Forest"
2012-11-16,0.6279,"Bartlett_Experimental_Forest"
2012-12-02,0.5082,"Bartlett_Experimental_Forest"
2012-12-18,0.5337,"Bartlett_Experimental_Forest"
